person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
32,77906,MORTGAGE,0.8151163655831253,EDUCATION,B,14752,,0.19,N,8,0
38,50370,MORTGAGE,6.340707541181514,PERSONAL,C,4269,,0.08,N,7,0
32,56762,RENT,6.180486971423814,EDUCATION,D,12991,15.38,0.23,N,3,0
29,13544,RENT,7.5664983573994125,VENTURE,B,12471,,0.92,N,3,0
27,54676,MORTGAGE,6.403023504691525,MEDICAL,B,20691,9.56,0.38,N,4,0
25,19831,RENT,5.510018402016122,VENTURE,C,16210,12.43,0.82,N,5,0
42,27680,MORTGAGE,7.6421621720603445,EDUCATION,B,6081,10.76,0.22,N,9,0
33,25992,MORTGAGE,6.312846673995706,EDUCATION,B,7492,10.55,0.29,N,12,0
26,30533,MORTGAGE,1.0574930805820695,EDUCATION,C,7908,13.1,0.26,Y,3,0
23,40059,OWN,1.4681468654737944,PERSONAL,D,19131,15.23,0.48,N,2,0
37,41457,RENT,8.404487719562756,PERSONAL,B,21426,9.54,0.52,N,9,0
42,78069,RENT,3.6133948234693682,MEDICAL,A,12212,7.75,0.16,N,11,0
40,61225,MORTGAGE,5.5380340155628325,PERSONAL,B,3721,9.92,0.06,N,14,0
22,19042,RENT,1.3656117636021774,DEBTCONSOLIDATION,B,8533,11.78,0.45,N,2,0
27,56716,RENT,4.16016060695944,MEDICAL,B,26291,10.61,0.46,N,6,1
25,64539,MORTGAGE,5.319308337035199,DEBTCONSOLIDATION,A,9796,7.9,0.15,N,5,0
28,45219,OWN,3.877409613057699,PERSONAL,B,1175,11.6,0.03,N,3,0
39,52392,MORTGAGE,7.062036644064208,EDUCATION,B,9240,9.81,0.18,N,16,0
46,60154,MORTGAGE,15.144586705711465,MEDICAL,A,17720,7.83,0.29,N,16,0
34,82498,RENT,7.895675681170431,VENTURE,D,3088,16.38,0.04,Y,7,0
24,22784,MORTGAGE,5.783120501069082,DEBTCONSOLIDATION,D,3856,15.56,0.17,N,3,0
29,47364,RENT,5.0776852660264575,MEDICAL,C,18738,12.25,0.4,N,2,1
49,124192,MORTGAGE,5.212852414125608,HOMEIMPROVEMENT,B,13335,8.75,0.11,N,11,0
31,118085,RENT,3.260055422121607,PERSONAL,B,13081,9.75,0.11,N,7,0
27,86510,MORTGAGE,0.434606346323545,MEDICAL,C,2596,14.37,0.03,N,5,0
28,72784,MORTGAGE,2.0078267510911605,EDUCATION,B,6415,9.85,0.09,N,7,0
34,134598,MORTGAGE,7.395233024741469,EDUCATION,B,12419,11.24,0.09,N,9,0
22,155564,OWN,2.116591404590878,VENTURE,A,4589,6.87,0.03,N,2,0
25,50463,RENT,0.2704534051586076,VENTURE,B,11903,10.51,0.24,N,5,0
40,31786,RENT,8.799039870405887,DEBTCONSOLIDATION,D,4676,16.4,0.15,Y,10,1
33,46692,MORTGAGE,12.416955884645404,PERSONAL,A,3517,8.3,0.08,N,6,0
31,297503,OTHER,4.23363802531329,MEDICAL,B,12163,10.11,0.04,N,8,0
41,22853,MORTGAGE,10.424707060126448,PERSONAL,B,9813,,0.43,N,13,0
23,41823,RENT,2.010590894577508,EDUCATION,C,8606,11.89,0.21,N,2,0
27,24909,MORTGAGE,0.0,VENTURE,A,9083,7.13,0.36,N,5,0
33,58024,RENT,5.690220395200676,DEBTCONSOLIDATION,D,9088,18.63,0.16,Y,8,1
33,27959,MORTGAGE,6.528821255734563,VENTURE,A,2911,7.3,0.1,N,12,0
20,51030,RENT,1.8573535427173309,DEBTCONSOLIDATION,D,14705,14.84,0.29,N,2,0
26,18535,OWN,8.8452376898503,HOMEIMPROVEMENT,A,18151,7.36,0.98,N,7,0
28,76091,RENT,3.48335455390621,PERSONAL,A,22517,8.07,0.3,N,4,0
34,106116,MORTGAGE,0.0,EDUCATION,C,11032,13.0,0.1,N,12,0
33,43863,RENT,9.387245215550495,MEDICAL,D,3510,15.11,0.08,N,8,0
29,50295,RENT,3.7798322949479273,EDUCATION,F,14461,22.51,0.29,N,9,0
20,49519,OWN,1.0227227996347554,PERSONAL,A,10134,7.8,0.2,N,2,0
30,59844,RENT,,DEBTCONSOLIDATION,B,10574,11.73,0.18,N,7,0
30,53050,MORTGAGE,3.902995993859583,PERSONAL,A,5395,7.18,0.1,N,5,0
63,82657,RENT,21.97269127541642,DEBTCONSOLIDATION,A,11879,8.92,0.14,N,28,0
28,106742,MORTGAGE,0.39515001487936785,DEBTCONSOLIDATION,A,14714,8.23,0.14,N,5,0
33,34622,RENT,5.090340187255114,DEBTCONSOLIDATION,A,10195,7.91,0.29,N,5,0
43,45700,RENT,3.14716469572806,MEDICAL,D,7011,15.02,0.15,N,11,0
38,88955,MORTGAGE,12.542084109054679,DEBTCONSOLIDATION,A,7357,6.91,0.08,N,8,0
47,24787,RENT,4.719901030961978,PERSONAL,B,10725,10.86,0.43,N,18,0
20,18326,RENT,3.7081230921738566,MEDICAL,B,7159,10.22,0.39,N,2,0
21,61357,MORTGAGE,0.8365322314360923,HOMEIMPROVEMENT,A,4367,7.8,0.07,N,2,0
24,71181,MORTGAGE,2.1644800949427916,HOMEIMPROVEMENT,G,14327,22.12,0.2,N,2,0
20,36414,RENT,1.3439549223484342,PERSONAL,B,9540,10.84,0.26,N,2,0
31,39408,MORTGAGE,4.048036902411292,DEBTCONSOLIDATION,D,10286,15.48,0.26,N,6,0
21,35663,OWN,1.1017111997155136,MEDICAL,D,6234,16.36,0.17,Y,2,0
49,33630,RENT,12.810218661983646,VENTURE,D,4360,15.19,0.13,N,16,0
22,79334,MORTGAGE,3.2876579261954504,EDUCATION,C,5604,13.23,0.07,N,2,0
27,28303,MORTGAGE,7.4116006436809965,VENTURE,A,6766,7.33,0.24,N,4,0
39,46815,RENT,13.658117751705612,VENTURE,A,4200,6.78,0.09,N,17,0
20,32927,RENT,1.0146358888863427,MEDICAL,B,7107,9.99,0.22,N,2,0
20,24333,RENT,4.790619479883379,PERSONAL,B,8665,10.72,0.36,N,2,0
32,87430,MORTGAGE,6.7547667420270985,EDUCATION,C,15722,14.07,0.18,N,8,0
33,40704,RENT,6.034263460116863,EDUCATION,C,13549,13.7,0.33,N,6,0
39,60092,MORTGAGE,13.527822954644625,VENTURE,A,12972,7.91,0.22,Y,15,0
36,23636,MORTGAGE,5.541153553739325,VENTURE,A,4478,7.57,0.19,N,14,1
33,36023,RENT,9.952860954224553,MEDICAL,A,12536,,0.35,N,9,1
23,82112,MORTGAGE,0.0,MEDICAL,B,4541,9.12,0.06,N,2,0
32,224807,OWN,5.831209537724082,MEDICAL,A,15510,7.08,0.07,N,10,0
33,18271,RENT,10.605576079242216,EDUCATION,C,7067,13.4,0.39,Y,7,0
23,48503,RENT,4.220390490541069,VENTURE,C,4294,,0.09,N,4,0
53,67965,MORTGAGE,4.900199642870396,HOMEIMPROVEMENT,A,12038,8.74,0.18,N,11,0
35,38605,RENT,11.135621216781072,MEDICAL,B,13415,10.72,0.35,N,5,0
21,86442,RENT,2.8719123394230897,PERSONAL,B,9158,,0.11,N,2,0
39,33634,RENT,4.944892015360453,EDUCATION,B,14594,10.94,0.43,N,13,0
41,58960,RENT,14.093069704865012,MEDICAL,E,9525,20.12,0.16,Y,16,0
34,40654,RENT,5.612235073443125,MEDICAL,A,5168,7.27,0.13,N,8,0
27,105946,MORTGAGE,3.763875057108713,HOMEIMPROVEMENT,B,9444,9.73,0.09,N,5,0
23,37346,OTHER,3.7165227467384834,VENTURE,D,10077,16.26,0.27,N,2,0
29,44643,RENT,3.8688130222576307,PERSONAL,B,9068,9.58,0.2,N,3,0
33,91137,RENT,4.251590765960117,PERSONAL,B,3725,9.74,0.04,N,10,0
30,30778,RENT,4.020403028570871,EDUCATION,C,20271,14.64,0.66,N,7,1
47,56264,RENT,6.2337996039784676,HOMEIMPROVEMENT,C,26231,14.54,0.47,Y,22,1
37,19882,RENT,14.660254466454655,MEDICAL,A,8047,8.02,0.4,N,9,0
22,29781,RENT,1.6490267293659215,EDUCATION,B,8523,10.81,0.29,N,2,0
20,66847,OWN,0.44833097718480164,MEDICAL,B,9498,9.52,0.14,N,3,0
35,31417,RENT,7.460265592118602,MEDICAL,B,8805,9.85,0.28,N,8,0
28,40154,RENT,3.311975932905964,EDUCATION,B,5245,11.56,0.13,N,4,0
38,71054,RENT,5.760937559256924,PERSONAL,C,14028,13.09,0.2,N,11,0
35,39397,RENT,7.606302107426054,MEDICAL,C,14387,12.86,0.37,N,9,0
29,85183,MORTGAGE,4.982081411992093,PERSONAL,A,8683,7.35,0.1,N,5,0
22,60999,RENT,1.708716637974428,EDUCATION,A,8365,,0.14,N,2,0
20,68845,OWN,1.0634471661769276,HOMEIMPROVEMENT,B,8232,10.33,0.12,N,2,1
32,107208,RENT,0.9261980361815845,EDUCATION,A,13838,7.36,0.13,N,10,0
20,64595,MORTGAGE,0.00380990993313135,PERSONAL,C,9380,11.76,0.15,N,2,0
22,126293,OTHER,0.8112232637587385,PERSONAL,B,7993,10.44,0.06,N,3,0
31,89428,RENT,1.9918635905699482,EDUCATION,A,4356,8.3,0.05,N,9,0
30,40623,RENT,9.823691739081301,EDUCATION,D,15011,15.95,0.37,N,5,0
20,110330,MORTGAGE,1.2520487948677501,EDUCATION,B,5956,12.16,0.05,N,2,0
42,62637,RENT,13.17901272094862,MEDICAL,A,4300,6.92,0.07,N,10,0
42,43604,MORTGAGE,8.199921884664212,EDUCATION,A,12569,,0.29,N,10,0
35,63140,RENT,12.556037823150797,PERSONAL,B,9317,9.96,0.15,N,8,0
35,99885,RENT,8.80318262857232,VENTURE,B,26966,9.94,0.27,N,10,0
35,69582,RENT,9.565663397223283,VENTURE,D,3936,16.43,0.06,N,7,0
72,147608,MORTGAGE,17.3214993630594,EDUCATION,B,6584,,0.04,N,35,0
41,98478,RENT,14.116506015867486,DEBTCONSOLIDATION,D,12553,17.56,0.13,Y,11,0
37,72239,RENT,12.013632288009257,EDUCATION,A,9057,7.7,0.13,N,12,0
23,30812,MORTGAGE,3.001538287239063,MEDICAL,C,10166,12.8,0.33,N,2,0
27,49077,RENT,1.0768611038272662,EDUCATION,D,10147,15.21,0.21,N,6,0
60,56354,RENT,12.68796549457284,EDUCATION,A,3007,,0.05,N,29,0
20,79470,RENT,0.0,PERSONAL,A,10517,7.68,0.13,Y,2,0
25,76920,MORTGAGE,1.2040748944882078,PERSONAL,B,13573,11.54,0.18,N,3,0
42,59471,MORTGAGE,16.259455657471044,PERSONAL,E,5469,18.56,0.09,N,8,0
23,57883,RENT,1.0689387970061561,VENTURE,B,5670,10.51,0.1,N,2,0
37,80519,RENT,2.695751482901691,HOMEIMPROVEMENT,B,7184,11.57,0.09,N,15,0
30,33785,MORTGAGE,3.5486923832605264,VENTURE,C,4221,13.8,0.12,Y,4,0
24,137658,MORTGAGE,1.5886639653112589,VENTURE,A,5085,7.79,0.04,Y,2,0
20,17571,RENT,0.0,MEDICAL,B,9602,10.18,0.55,N,2,0
32,120629,RENT,7.578829961705777,EDUCATION,A,17340,8.2,0.14,N,5,0
22,52846,RENT,4.1762863071115355,VENTURE,A,6720,7.44,0.13,N,2,0
29,94034,MORTGAGE,0.1491001623678374,MEDICAL,C,21219,13.06,0.23,N,4,0
35,66178,OWN,5.601640689026291,VENTURE,C,6654,15.22,0.1,Y,7,0
40,65533,RENT,6.771649889460956,MEDICAL,G,14240,22.26,0.22,Y,15,1
25,73485,RENT,1.0480472966898766,DEBTCONSOLIDATION,A,5873,6.87,0.08,N,3,0
24,84539,RENT,2.1594261919787985,HOMEIMPROVEMENT,B,11331,11.41,0.13,N,3,0
20,45213,RENT,1.7726288792924794,MEDICAL,C,19730,14.04,0.44,Y,2,1
40,95715,RENT,12.01176060992309,DEBTCONSOLIDATION,A,12733,6.97,0.13,N,18,0
57,29838,OWN,,DEBTCONSOLIDATION,A,8541,7.44,0.29,N,28,0
42,54017,RENT,0.8243489585416333,HOMEIMPROVEMENT,B,8233,11.04,0.15,Y,9,0
45,85800,MORTGAGE,17.643006297992542,MEDICAL,B,11416,10.67,0.13,N,20,0
23,93644,RENT,2.6040423537457866,DEBTCONSOLIDATION,F,13354,21.13,0.14,Y,3,1
35,69803,MORTGAGE,11.604083670343602,MEDICAL,B,14166,10.49,0.2,N,12,0
39,43635,MORTGAGE,1.1072737250631186,PERSONAL,D,9679,16.65,0.22,N,16,0
20,88715,RENT,2.694111261330403,PERSONAL,D,11180,15.75,0.13,N,2,0
20,37490,OWN,2.951369620202139,DEBTCONSOLIDATION,A,5724,6.98,0.15,N,2,0
50,141956,RENT,17.791299023353638,MEDICAL,C,11992,14.34,0.08,N,18,0
20,51711,MORTGAGE,0.0,DEBTCONSOLIDATION,A,5931,7.73,0.11,N,2,0
47,23230,MORTGAGE,14.956840440745461,VENTURE,A,10228,8.05,0.44,N,8,0
20,28083,RENT,5.300479334586757,MEDICAL,D,7619,16.98,0.27,Y,2,1
21,55492,MORTGAGE,0.8765350567408592,VENTURE,A,18660,7.04,0.34,N,2,0
35,58507,MORTGAGE,10.036164490405188,DEBTCONSOLIDATION,B,9628,10.93,0.16,N,8,0
31,160061,OWN,6.775963493782262,HOMEIMPROVEMENT,A,19703,9.36,0.12,Y,6,0
26,30602,MORTGAGE,1.4416217350787472,DEBTCONSOLIDATION,A,9117,7.37,0.3,N,4,0
49,55365,RENT,13.216953535602602,EDUCATION,B,21479,9.53,0.39,N,25,0
20,30252,MORTGAGE,0.0,EDUCATION,B,12290,11.16,0.41,N,2,0
28,41317,MORTGAGE,6.195229226924046,EDUCATION,B,3129,,0.08,N,6,0
36,136787,MORTGAGE,1.5585477449852307,EDUCATION,D,7711,15.12,0.06,N,8,0
33,28998,MORTGAGE,4.7810649183262734,VENTURE,B,6261,10.5,0.22,N,10,0
24,74822,RENT,4.810736783697569,MEDICAL,A,4421,7.48,0.06,N,3,0
24,67245,RENT,5.2865539720898,EDUCATION,A,6061,7.65,0.09,N,3,0
39,53460,MORTGAGE,10.869979705359093,DEBTCONSOLIDATION,C,6847,15.27,0.13,N,16,0
40,72091,OWN,14.983712655779682,PERSONAL,B,2995,10.57,0.04,N,11,0
33,28623,RENT,10.117037620624174,DEBTCONSOLIDATION,E,3310,18.04,0.12,Y,5,1
22,134723,OWN,0.0,MEDICAL,C,8460,12.99,0.06,N,2,0
24,156164,OWN,0.6187976852163097,VENTURE,A,11988,7.14,0.08,N,4,0
30,55598,MORTGAGE,1.9133985115413432,MEDICAL,A,27327,,0.49,N,9,0
31,205398,MORTGAGE,2.1090043387004584,VENTURE,B,17718,10.95,0.09,N,6,0
36,43500,MORTGAGE,6.107295360319412,PERSONAL,C,8285,,0.19,N,10,0
28,67523,MORTGAGE,8.194139467366908,VENTURE,A,9491,7.87,0.14,N,4,0
39,119078,MORTGAGE,15.617558025647204,DEBTCONSOLIDATION,B,12593,11.14,0.11,N,13,0
39,42089,RENT,4.296439263316742,HOMEIMPROVEMENT,D,8632,16.5,0.21,N,16,1
45,25340,RENT,5.866777799244476,VENTURE,C,9736,12.39,0.38,N,20,0
30,22327,RENT,5.073952362882028,MEDICAL,C,6059,13.28,0.27,N,11,0
33,168291,RENT,4.282550472997517,HOMEIMPROVEMENT,C,9287,13.31,0.06,N,6,0
29,40499,RENT,3.7763498613660333,DEBTCONSOLIDATION,A,9982,8.6,0.25,N,7,0
22,48915,OWN,3.4126213878343,PERSONAL,A,4503,8.67,0.09,N,2,0
57,29377,MORTGAGE,25.707876812220714,DEBTCONSOLIDATION,A,12418,7.16,0.42,N,16,0
43,91270,RENT,8.175608387944772,EDUCATION,A,12742,6.71,0.14,N,11,0
39,35247,MORTGAGE,14.761128087502,EDUCATION,D,13017,16.13,0.37,N,12,0
30,41349,RENT,2.485832488552191,EDUCATION,A,6131,7.25,0.15,N,3,0
21,63878,RENT,0.46559942895747364,EDUCATION,C,19718,13.43,0.31,N,2,0
41,30175,MORTGAGE,7.355842842017951,VENTURE,C,7744,14.47,0.26,N,10,0
28,49108,RENT,1.862958382996839,EDUCATION,B,4756,,0.1,N,7,0
34,117150,MORTGAGE,8.876328813711519,DEBTCONSOLIDATION,B,19017,10.12,0.16,N,10,0
24,68565,RENT,1.2083844653862665,PERSONAL,B,5328,,0.08,N,4,0
32,58209,MORTGAGE,6.511057795367393,MEDICAL,B,11020,9.35,0.19,N,9,0
25,60972,MORTGAGE,1.8512175221104898,EDUCATION,D,6685,16.45,0.11,Y,4,0
25,43738,RENT,0.0,PERSONAL,A,3648,7.73,0.08,N,4,0
32,162410,OWN,2.375262501067322,EDUCATION,A,5232,7.95,0.03,N,12,0
20,34659,RENT,2.666418851384926,DEBTCONSOLIDATION,B,17880,10.49,0.52,N,2,0
20,60840,MORTGAGE,1.2311942870267778,DEBTCONSOLIDATION,B,9537,9.66,0.16,N,3,0
23,57714,OWN,3.816187696939818,VENTURE,B,7053,10.54,0.12,N,2,0
28,94354,OWN,7.17392803388129,EDUCATION,G,8043,23.41,0.09,Y,6,1
40,99383,RENT,12.588592351373602,DEBTCONSOLIDATION,C,4838,13.55,0.05,Y,17,0
28,53230,RENT,5.335644207922313,MEDICAL,D,5783,17.31,0.11,N,6,0
30,63568,MORTGAGE,4.77990793131582,MEDICAL,B,14208,10.7,0.22,Y,6,0
27,64905,RENT,6.98608486920101,VENTURE,A,10524,9.07,0.16,N,2,0
33,15526,RENT,5.315262747569492,HOMEIMPROVEMENT,C,9258,15.14,0.6,N,7,0
22,22607,MORTGAGE,0.0,MEDICAL,C,8426,12.78,0.37,N,2,1
29,38840,MORTGAGE,3.153919486624578,HOMEIMPROVEMENT,B,3337,9.98,0.09,N,5,0
34,39780,RENT,2.856885893718373,EDUCATION,D,8814,15.63,0.22,N,11,0
32,28012,RENT,0.31239789486817116,EDUCATION,E,14215,17.13,0.51,Y,10,1
30,81819,OWN,5.761790036030108,PERSONAL,B,6598,10.87,0.08,N,3,0
30,54239,MORTGAGE,2.846770039944864,EDUCATION,A,8890,7.85,0.16,N,4,0
35,48142,MORTGAGE,2.6842701862782983,MEDICAL,B,2098,10.65,0.04,N,11,0
58,27149,RENT,22.74778586614342,EDUCATION,F,17057,19.52,0.63,N,31,0
23,52865,RENT,2.9308730407759347,MEDICAL,A,19850,8.77,0.38,N,2,0
58,12775,RENT,8.120189052916738,MEDICAL,B,19787,9.0,1.55,N,18,1
22,49531,MORTGAGE,2.714463594194033,DEBTCONSOLIDATION,C,3546,12.44,0.07,N,2,0
20,56092,RENT,0.0,PERSONAL,A,14837,8.21,0.26,N,2,0
25,61886,MORTGAGE,4.420752500114543,HOMEIMPROVEMENT,B,1594,10.75,0.03,N,3,0
33,22919,MORTGAGE,4.966893196527956,PERSONAL,A,15277,7.01,0.67,N,9,0
54,61306,MORTGAGE,14.768116002507735,PERSONAL,D,9182,,0.15,N,24,0
21,30552,RENT,0.0,PERSONAL,C,7589,13.6,0.25,N,2,0
35,34653,MORTGAGE,8.066287420092591,DEBTCONSOLIDATION,C,14782,14.44,0.43,Y,5,1
20,80407,MORTGAGE,1.515588074111497,MEDICAL,A,9831,6.53,0.12,N,2,0
53,164023,RENT,4.3105369563017595,MEDICAL,A,5765,7.73,0.04,N,25,0
44,55728,RENT,6.3798536909800365,DEBTCONSOLIDATION,D,13200,16.86,0.24,N,18,0
25,34565,MORTGAGE,0.4567165210648725,MEDICAL,B,16766,9.7,0.49,N,4,0
20,60100,RENT,2.0710102160164965,HOMEIMPROVEMENT,A,14213,7.46,0.24,N,2,0
46,90804,RENT,7.704405367285171,VENTURE,A,14678,7.45,0.16,N,9,0
29,76232,RENT,5.455579638118321,MEDICAL,B,4802,9.21,0.06,N,3,0
44,244926,RENT,9.951674073876276,DEBTCONSOLIDATION,A,6953,7.73,0.03,Y,16,0
30,36554,OWN,5.326480208210718,MEDICAL,B,10623,10.78,0.29,N,2,0
30,62238,MORTGAGE,5.167315064899306,HOMEIMPROVEMENT,C,18768,14.7,0.3,N,7,0
25,126995,MORTGAGE,1.287312528510855,HOMEIMPROVEMENT,B,5880,10.48,0.05,N,2,0
37,122686,OWN,3.9120898195778278,PERSONAL,D,18264,16.35,0.15,Y,15,0
31,18535,MORTGAGE,5.210440140084875,EDUCATION,A,2994,8.68,0.16,N,7,0
35,54076,MORTGAGE,5.462217275906856,MEDICAL,B,17080,9.99,0.32,N,8,1
20,122575,RENT,0.0,VENTURE,A,16286,6.56,0.13,N,2,1
45,265628,MORTGAGE,6.795374584980443,DEBTCONSOLIDATION,D,23878,16.1,0.09,N,16,0
49,79784,RENT,8.783507038898096,EDUCATION,D,15220,15.84,0.19,N,8,0
31,44252,RENT,8.930898246347954,EDUCATION,B,11130,10.43,0.25,N,7,0
56,31099,RENT,20.354096369516462,EDUCATION,A,7643,7.16,0.25,N,11,0
52,183562,RENT,0.9818395428842521,VENTURE,A,7136,6.83,0.04,N,23,0
37,80886,RENT,11.147049810950246,DEBTCONSOLIDATION,D,9017,16.75,0.11,N,10,0
46,33981,RENT,15.775272820436104,EDUCATION,C,7349,13.48,0.22,Y,10,0
42,48448,MORTGAGE,11.729094042396499,MEDICAL,D,13198,17.8,0.27,N,17,0
20,64254,RENT,2.539632578436265,PERSONAL,A,15026,6.67,0.23,N,2,0
27,73064,MORTGAGE,2.5009562054538175,DEBTCONSOLIDATION,B,5632,12.11,0.08,N,5,0
38,33031,MORTGAGE,5.726769273384473,DEBTCONSOLIDATION,C,15430,13.73,0.47,N,14,1
50,38645,MORTGAGE,11.996855468768073,DEBTCONSOLIDATION,D,11545,16.01,0.3,N,13,0
20,21826,RENT,0.0,EDUCATION,B,7950,9.62,0.36,N,2,0
20,95977,OWN,0.0,VENTURE,A,16882,6.97,0.18,N,2,0
29,44896,RENT,2.636321340975573,HOMEIMPROVEMENT,D,6128,17.01,0.14,N,6,1
20,70015,MORTGAGE,2.8528248537238077,HOMEIMPROVEMENT,A,4374,5.37,0.06,Y,2,0
29,118449,MORTGAGE,4.782960848847292,PERSONAL,B,5956,9.06,0.05,N,6,0
34,61140,RENT,10.417941811939771,PERSONAL,B,6956,9.21,0.11,N,8,0
21,50912,RENT,1.3436639685268792,HOMEIMPROVEMENT,A,16532,8.44,0.32,Y,2,1
29,60274,RENT,7.172652647774935,VENTURE,B,26874,11.04,0.45,N,5,0
41,56092,MORTGAGE,5.7046369979753155,EDUCATION,C,16113,12.69,0.29,N,9,0
25,107515,MORTGAGE,1.1558766472491957,PERSONAL,B,9580,10.12,0.09,N,4,0
22,64277,OWN,2.5055366118955287,HOMEIMPROVEMENT,A,2682,7.6,0.04,N,2,0
29,40158,RENT,6.743472681686142,PERSONAL,C,6325,14.32,0.16,N,5,0
20,96405,RENT,0.5781704953782323,DEBTCONSOLIDATION,F,22653,19.69,0.23,Y,2,0
55,106592,RENT,,VENTURE,C,14530,13.61,0.14,N,13,0
30,25949,OWN,0.038498699219142285,EDUCATION,C,2556,13.22,0.1,N,8,0
23,125873,RENT,3.190939192085848,EDUCATION,D,1857,,0.01,Y,3,0
32,66210,RENT,8.531529046551407,HOMEIMPROVEMENT,C,14198,12.78,0.21,N,8,0
29,63309,MORTGAGE,1.4679569667113026,VENTURE,F,18485,20.67,0.29,Y,8,1
28,94244,MORTGAGE,5.552113384091979,EDUCATION,C,5074,12.87,0.05,N,6,0
25,39662,MORTGAGE,0.0,HOMEIMPROVEMENT,C,6167,13.58,0.16,N,2,1
24,91563,RENT,1.076852113252315,VENTURE,C,15822,14.75,0.17,N,2,1
20,44036,RENT,0.0,DEBTCONSOLIDATION,D,7961,16.83,0.18,N,2,0
46,24071,OWN,9.597957840506247,VENTURE,C,8570,14.61,0.36,Y,14,1
36,31295,MORTGAGE,6.127247732384989,EDUCATION,C,8342,13.75,0.27,Y,10,0
33,74003,RENT,3.0489828136016657,PERSONAL,A,10122,8.41,0.14,N,5,0
29,32208,RENT,6.133462151616212,HOMEIMPROVEMENT,D,11275,14.56,0.35,N,4,0
21,131339,RENT,0.24676861218249824,EDUCATION,B,23660,9.14,0.18,N,2,0
23,104204,MORTGAGE,3.028573346149993,DEBTCONSOLIDATION,A,7606,6.7,0.07,N,3,0
20,112802,RENT,0.6675350860871031,MEDICAL,C,8550,12.75,0.08,N,2,0
24,58024,MORTGAGE,0.0,VENTURE,B,4782,11.34,0.08,N,2,0
20,62431,MORTGAGE,5.463669466396487,MEDICAL,A,10063,6.29,0.16,N,3,0
51,28098,MORTGAGE,14.77048940727395,HOMEIMPROVEMENT,A,16454,6.41,0.59,N,16,0
40,93683,RENT,4.532758250891533,VENTURE,A,6126,7.4,0.07,N,14,0
31,66763,MORTGAGE,1.4590663973280298,VENTURE,A,5610,7.61,0.08,N,7,0
22,74014,MORTGAGE,0.7606072184038006,DEBTCONSOLIDATION,B,15687,11.2,0.21,N,3,0
20,137114,RENT,2.3453002690187237,EDUCATION,D,11243,,0.08,N,2,0
28,38821,OWN,2.7306263657868723,EDUCATION,B,5639,10.35,0.15,Y,5,0
40,50545,RENT,7.25585142904528,EDUCATION,B,10355,11.21,0.2,N,10,0
54,64839,MORTGAGE,20.533930275946513,PERSONAL,C,5331,12.78,0.08,Y,24,0
20,32386,RENT,0.6157878252730246,VENTURE,B,7799,,0.24,N,2,0
36,48865,MORTGAGE,,DEBTCONSOLIDATION,C,8213,13.96,0.17,N,8,1
24,71048,MORTGAGE,2.0665341917633526,VENTURE,B,15564,10.2,0.22,N,3,0
